Image Name,Image File Size,Compression Time,Compression Ratio,CQ_Algorithm,Max number of colors,Number of unique colors
ba74d1b6691628bb51709fed7e4929.jpeg,228602,0.9019858837127686,0.2208510861672251,dither + WebP-100,512,58149
ba74d1b6691628bb51709fed7e4929.jpeg,413806,1.0436270236968994,0.1220064474657206,dither + WebP-lossless,512,69506
ba74d1b6691628bb51709fed7e4929.jpeg,95118,0.333899974822998,0.5307828171324039,Octree + WebP-100,2097152,30092
ba74d1b6691628bb51709fed7e4929.jpeg,215508,0.446476936340332,0.2342697254858288,Octree + WebP-lossless,2097152,38011
ba74d1b6691628bb51709fed7e4929.jpeg,93168,0.3583321571350097,0.541892065945389,Octree + WebP-100,4096,23235
ba74d1b6691628bb51709fed7e4929.jpeg,218744,0.672929048538208,0.2308040449109461,Octree + WebP-lossless,4096,31149
ba74d1b6691628bb51709fed7e4929.jpeg,95650,0.2388308048248291,0.5278306325143753,Octree + WebP-100,262144,29516
ba74d1b6691628bb51709fed7e4929.jpeg,219430,0.4241540431976318,0.2300824864421455,Octree + WebP-lossless,262144,37338
ba74d1b6691628bb51709fed7e4929.jpeg,97302,0.7521378993988037,0.5188690879940803,reduce + WebP-100,32768,50212
ba74d1b6691628bb51709fed7e4929.jpeg,235004,0.5332050323486328,0.2148346411124917,reduce + WebP-lossless,32768,60517
ba74d1b6691628bb51709fed7e4929.jpeg,102956,0.8168408870697021,0.4903745289249777,medianCut + WebP-100,32768,34112
ba74d1b6691628bb51709fed7e4929.jpeg,245322,0.9230630397796632,0.2057989091887397,medianCut + WebP-lossless,32768,43546
ba74d1b6691628bb51709fed7e4929.jpeg,119438,0.3969759941101074,0.4227046668564443,reduce + WebP-100,64,64546
ba74d1b6691628bb51709fed7e4929.jpeg,321586,0.4784741401672363,0.1569937746046158,reduce + WebP-lossless,64,75770
ba74d1b6691628bb51709fed7e4929.jpeg,82654,0.96779203414917,0.6108234326227406,Octree + WebP-100,512,13394
ba74d1b6691628bb51709fed7e4929.jpeg,201308,0.6222946643829346,0.250794801994953,Octree + WebP-lossless,512,18853
ba74d1b6691628bb51709fed7e4929.jpeg,96300,0.1924710273742675,0.5242679127725857,dither + WebP-100,262144,49185
ba74d1b6691628bb51709fed7e4929.jpeg,222170,0.563256025314331,0.2272449025520997,dither + WebP-lossless,262144,59193
ba74d1b6691628bb51709fed7e4929.jpeg,96138,0.165579080581665,0.5251513449416464,dither + WebP-100,32768,49638
ba74d1b6691628bb51709fed7e4929.jpeg,223926,0.4732241630554199,0.2254628761287211,dither + WebP-lossless,32768,59757
ba74d1b6691628bb51709fed7e4929.jpeg,96814,0.1597490310668945,0.5214844960439606,reduce + WebP-100,2097152,49632
ba74d1b6691628bb51709fed7e4929.jpeg,222972,0.4278850555419922,0.2264275335019643,reduce + WebP-lossless,2097152,59922
ba74d1b6691628bb51709fed7e4929.jpeg,102966,0.1362130641937255,0.4903269040265718,medianCut + WebP-100,512,34083
ba74d1b6691628bb51709fed7e4929.jpeg,245206,0.3793118000030517,0.2058962668123944,medianCut + WebP-lossless,512,43540
ba74d1b6691628bb51709fed7e4929.jpeg,96458,0.2148900032043457,0.5234091521698563,reduce + WebP-100,4096,54231
ba74d1b6691628bb51709fed7e4929.jpeg,263920,0.4138212203979492,0.1912966050318278,reduce + WebP-lossless,4096,66199
ba74d1b6691628bb51709fed7e4929.jpeg,69536,0.1684746742248535,0.7260555683387022,Octree + WebP-100,64,7189
ba74d1b6691628bb51709fed7e4929.jpeg,151742,0.3478879928588867,0.332716057518683,Octree + WebP-lossless,64,10058
ba74d1b6691628bb51709fed7e4929.jpeg,116056,0.3176531791687011,0.4350227476390708,dither + WebP-100,4096,51252
ba74d1b6691628bb51709fed7e4929.jpeg,264398,0.4718389511108398,0.19095076362151,dither + WebP-lossless,4096,61662
ba74d1b6691628bb51709fed7e4929.jpeg,97362,0.2368321418762207,0.5185493313613114,original + WebP-100,original,50526
ba74d1b6691628bb51709fed7e4929.jpeg,225114,0.5064260959625244,0.2242730349956022,original + WebP-lossless,original,60517
ba74d1b6691628bb51709fed7e4929.jpeg,102874,0.1357560157775879,0.4907654023368392,medianCut + WebP-100,64,34074
ba74d1b6691628bb51709fed7e4929.jpeg,244712,0.9546718597412108,0.2063119095099545,medianCut + WebP-lossless,64,43527
ba74d1b6691628bb51709fed7e4929.jpeg,96594,0.1559112071990966,0.5226722156655693,dither + WebP-100,2097152,49577
ba74d1b6691628bb51709fed7e4929.jpeg,223040,0.4084868431091308,0.2263585007173601,dither + WebP-lossless,2097152,59580
ba74d1b6691628bb51709fed7e4929.jpeg,168675,0.514941930770874,0.2993152512227657,medianCut + AVIF-100,2097152,40655
ba74d1b6691628bb51709fed7e4929.jpeg,46204,0.4533908367156982,1.092697601939226,medianCut + AVIF-lossless,2097152,40160
ba74d1b6691628bb51709fed7e4929.jpeg,462745,0.6416821479797363,0.1091032858269673,dither + AVIF-100,64,82011
ba74d1b6691628bb51709fed7e4929.jpeg,188947,0.1009027957916259,0.2672019137641772,dither + AVIF-lossless,64,77316
ba74d1b6691628bb51709fed7e4929.jpeg,168676,0.4482691287994385,0.2993134767246081,medianCut + AVIF-100,4096,40655
ba74d1b6691628bb51709fed7e4929.jpeg,46200,0.449368953704834,1.092792207792208,medianCut + AVIF-lossless,4096,40142
ba74d1b6691628bb51709fed7e4929.jpeg,160335,0.5214028358459473,0.3148844606604921,reduce + AVIF-100,262144,57976
ba74d1b6691628bb51709fed7e4929.jpeg,43776,0.0845158100128173,1.1533031798245614,reduce + AVIF-lossless,262144,57372
ba74d1b6691628bb51709fed7e4929.jpeg,155348,0.1492109298706054,0.3249929191235162,Octree + AVIF-100,32768,32410
ba74d1b6691628bb51709fed7e4929.jpeg,44063,0.0642147064208984,1.1457912534325851,Octree + AVIF-lossless,32768,32545
ba74d1b6691628bb51709fed7e4929.jpeg,168675,0.1759438514709472,0.2993152512227657,medianCut + AVIF-100,262144,40655
ba74d1b6691628bb51709fed7e4929.jpeg,46204,0.1425368785858154,1.092697601939226,medianCut + AVIF-lossless,262144,40160
ba74d1b6691628bb51709fed7e4929.jpeg,177112,0.5283091068267822,0.2850569131397082,reduce + AVIF-100,512,73099
ba74d1b6691628bb51709fed7e4929.jpeg,50711,0.0870199203491211,0.9955828124075644,reduce + AVIF-lossless,512,72951
ba74d1b6691628bb51709fed7e4929.jpeg,321797,0.4874570369720459,0.1568908349052352,dither + AVIF-100,512,67960
ba74d1b6691628bb51709fed7e4929.jpeg,90278,0.0998477935791015,0.5592392387957199,dither + AVIF-lossless,512,66088
ba74d1b6691628bb51709fed7e4929.jpeg,156010,0.1585872173309326,0.3236138709057112,Octree + AVIF-100,2097152,36107
ba74d1b6691628bb51709fed7e4929.jpeg,43125,0.1276748180389404,1.1707130434782609,Octree + AVIF-lossless,2097152,35544
ba74d1b6691628bb51709fed7e4929.jpeg,148452,0.5751149654388428,0.3400897259720313,Octree + AVIF-100,4096,28633
ba74d1b6691628bb51709fed7e4929.jpeg,43383,0.4710640907287597,1.1637507779544982,Octree + AVIF-lossless,4096,28539
ba74d1b6691628bb51709fed7e4929.jpeg,156401,0.1199989318847656,0.3228048414012698,Octree + AVIF-100,262144,35391
ba74d1b6691628bb51709fed7e4929.jpeg,43538,0.0566368103027343,1.1596076990215445,Octree + AVIF-lossless,262144,35002
ba74d1b6691628bb51709fed7e4929.jpeg,161509,0.5526242256164551,0.3125955829086924,reduce + AVIF-100,32768,58668
ba74d1b6691628bb51709fed7e4929.jpeg,44002,0.0750830173492431,1.1473796645607015,reduce + AVIF-lossless,32768,58065
ba74d1b6691628bb51709fed7e4929.jpeg,168675,0.5346541404724121,0.2993152512227657,medianCut + AVIF-100,32768,40655
ba74d1b6691628bb51709fed7e4929.jpeg,46204,0.495819091796875,1.092697601939226,medianCut + AVIF-lossless,32768,40160
ba74d1b6691628bb51709fed7e4929.jpeg,180931,0.1164422035217285,0.2790400760510913,reduce + AVIF-100,64,72234
ba74d1b6691628bb51709fed7e4929.jpeg,60681,0.1545169353485107,0.832006723686162,reduce + AVIF-lossless,64,72640
ba74d1b6691628bb51709fed7e4929.jpeg,128447,0.5655381679534912,0.3930570585533333,Octree + AVIF-100,512,16966
