Image Name,Image File Size,Compression Time,Compression Ratio,CQ_Algorithm,Max number of colors,Number of unique colors
7313ead43265bbf6fe06c640e79df6.jpeg,2473,1.042884111404419,13.081682167408006,original + AVIF-10,original,48571
7313ead43265bbf6fe06c640e79df6.jpeg,4024,0.2065098285675048,8.039512922465208,original + AVIF-25,original,57528
7313ead43265bbf6fe06c640e79df6.jpeg,12670,2.514742612838745,2.553354380426204,original + AVIF-50,original,63976
7313ead43265bbf6fe06c640e79df6.jpeg,28786,1.2211058139801023,1.1238449246161328,original + AVIF-75,original,68615
7313ead43265bbf6fe06c640e79df6.jpeg,28786,0.4228541851043701,1.1238449246161328,original + AVIF-lossless,original,68615
1341190a4bf87c5961e6c320c8e6cb.jpeg,7455,-1.0,1.0,,-1,11847
1341190a4bf87c5961e6c320c8e6cb.jpeg,2070,1.361241102218628,3.601449275362319,original + WebP-10,original,11408
1341190a4bf87c5961e6c320c8e6cb.jpeg,2932,1.6316118240356443,2.542633015006821,original + WebP-25,original,11954
1341190a4bf87c5961e6c320c8e6cb.jpeg,4342,0.0187067985534667,1.716950713956702,original + WebP-50,original,12548
1341190a4bf87c5961e6c320c8e6cb.jpeg,5688,1.4773082733154297,1.3106540084388183,original + WebP-75,original,12858
1341190a4bf87c5961e6c320c8e6cb.jpeg,38408,2.090312957763672,0.1941001874609456,original + WebP-lossless,original,13219
1341190a4bf87c5961e6c320c8e6cb.jpeg,950,9.78913688659668,7.847368421052631,original + AVIF-10,original,12525
1341190a4bf87c5961e6c320c8e6cb.jpeg,1542,0.0938649177551269,4.834630350194552,original + AVIF-25,original,12556
1341190a4bf87c5961e6c320c8e6cb.jpeg,4187,0.7254340648651123,1.780511105803678,original + AVIF-50,original,12973
1341190a4bf87c5961e6c320c8e6cb.jpeg,7823,0.0237340927124023,0.9529592228045508,original + AVIF-75,original,13126
1341190a4bf87c5961e6c320c8e6cb.jpeg,7823,1.438016653060913,0.9529592228045508,original + AVIF-lossless,original,13126
a4d79dd2549fc0468343a9679cb159.jpeg,50888,-1.0,1.0,,-1,87640
a4d79dd2549fc0468343a9679cb159.jpeg,11332,0.3709099292755127,4.490645958348041,original + WebP-10,original,66978
a4d79dd2549fc0468343a9679cb159.jpeg,17902,0.4047787189483642,2.8425874203999557,original + WebP-25,original,67027
a4d79dd2549fc0468343a9679cb159.jpeg,27794,0.3355021476745605,1.8308987551270055,original + WebP-50,original,67916
