Image Name,Original Size (Bytes),New Size (Bytes),Compression Percentage
2566bb33a4c74913c8532076f0f55b.jpeg,7123,3263,54.190650007019514
08a1812d2357b6067349c18df72efb.jpeg,42926,8864,79.3505101803103
b0f2c0fba0cb3f453fa3255e43182f.jpeg,145248,18565,87.21841264595727
fa3f8dabc47195f13ec13a0c5e5216.jpeg,44464,2799,93.70501979129183
60c851d50a57c75a02a30eed99b9b7.jpeg,117629,6209,94.7215397563526
f1bcb0c6c343fc853e36d205ef84e4.jpeg,161129,5845,96.37247174624059
7364f8f704252093793d20bd68286d.jpeg,28794,3591,87.52865180245884
67d777e64e21f6b8f40be964581458.jpeg,61286,7850,87.19120190581862
fa2749e72be6b190073893703223f8.jpeg,16860,7618,54.816132858837484
991be2c0a52b12e724b0256555315c.jpeg,61262,7364,87.97949789429009
4f408662ffd70beea2570989693ba9.jpeg,18385,13291,27.70737013870003
cfadce87393835cc75bdd70d879110.jpeg,74911,4965,93.37213493345436
dd8fd641c1ed6ae5f3c8ae153b1e82.jpeg,29489,6865,76.72013293092338
e0d9bb659a438e2b5f8da788b41edf.jpeg,80914,3240,95.99574857255851
957eff77cf50c41750f9923e1bfe06.jpeg,81340,6599,91.887140398328
cd2654fae195462fe71a0ec3972e51.jpeg,16867,3702,78.05181715776368
65ceee5b20d5f346d1903416c3a0b4.jpeg,17626,3740,78.78134573924885
4d357975c1b08f411879b8b3764a22.jpeg,22097,18783,14.997510974340411
7dacbdf5a158325e6770a302cba0cb.jpeg,62822,21584,65.64260927700487
9e16e0e6d01aa9ad446abb5cec3054.jpeg,90029,10196,88.67476035499674
7b638d1642e25c2ef409250205d5a8.jpeg,16716,9928,40.607800909308445
491fcf9cc1bf0a8c78e4517531c9ea.jpeg,21676,5473,74.7508765454881
9e972420b0d4b8807b5cbcc4b2dd28.jpeg,56886,3245,94.29560876138241
bba6040af84b8dd65bbe30a1518f33.jpeg,12887,5102,60.40971521688523
6daa41c074015171a9a72342aaa69b.jpeg,40656,8885,78.14590712317985
c40133b88be857267713c44271ab05.jpeg,819584,10060,98.77254802436359
49f08c496cd160041cf3089221b5bd.jpeg,581694,12466,97.85694884251858
bfd0df5d5026c44a06091bfdea2c8e.jpeg,14951,5830,61.00595277907832
8c69a84cffb719b2fc26e0acbc3e61.jpeg,15613,13632,12.688144494972143
f76bbc28cdc8009cda59743a0faf2f.jpeg,1940112,17791,99.08299108505076
2524b908c4faeaaa5673bc36794fc3.jpeg,350453,4522,98.70967005561373
85c0bb3ccb7eb50d9fff6d3e08ae6c.jpeg,18326,3162,82.74582560296847
f82c1b9c0f47ca8fc09e219287d232.jpeg,57528,6274,89.09400639688499
691b2a75ccf70b04adaf98e99d1805.jpeg,56551,5912,89.54571979275345
c1aa671abb23261832a945467bd502.jpeg,335979,7782,97.68378380791657
e6dfd7db29693ef5506b2405d47f04.jpeg,14050,3299,76.51957295373666
b87c92295b89df6e1e721637c40fe5.jpeg,192248,4463,97.67851941242562
a0489a373b61a6e3182e147cb52963.jpeg,79722,7302,90.84067133288175
93bed026286aa998fac39712639c26.jpeg,69927,6283,91.01491555479285
fe7ef94863adc3160308cdb07d563f.jpeg,51401,5600,89.10527032548005
6f89b4aef2b7ccbcdc87cc97450fa9.jpeg,42824,17988,57.99551653278535
d6d23d9c063c0bff697647e44ee11d.jpeg,23743,5143,78.33887882744388
ce59cec28161c7ad9f0345ad9f3c67.jpeg,107132,5238,95.11070455139455
